Name: Bamfield Place, Instruction: Head east on Bamfield Place, Distance: 69.0 meters, Time: 49.7 seconds
Name: Seacliffe Road, Instruction: Turn right onto Seacliffe Road, Distance: 408.1 meters, Time: 293.8 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 418.5 meters, Time: 301.3 seconds
Name: Beachcroft Avenue, Instruction: Continue straight onto Beachcroft Avenue, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 237.0 meters, Time: 170.6 seconds
Name: Quadrant Road, Instruction: Turn right onto Quadrant Road, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 123.9 meters, Time: 89.2 seconds
Name: Hill Street, Instruction: Turn right onto Hill Street, Distance: 57.8 meters, Time: 41.6 seconds
Name: Fleming Street, Instruction: Turn left onto Fleming Street, Distance: 199.8 meters, Time: 143.9 seconds
Name: Selwyn Street, Instruction: Turn left onto Selwyn Street, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 67.9 meters, Time: 48.9 seconds
Name: Lower Municipal Place, Instruction: Turn right onto Lower Municipal Place, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: Upper Municipal Place, Instruction: Turn sharp right onto Upper Municipal Place, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
