Name: شارع الشهيدة فريدة داوود, Instruction: Head south on شارع الشهيدة فريدة داوود, Distance: 9.6 meters, Time: 6.9 seconds
Name: شارع محمود مختار, Instruction: Turn left onto شارع محمود مختار, Distance: 170.5 meters, Time: 122.8 seconds
Name: شارع محمود مختار, Instruction: Continue straight onto شارع محمود مختار, Distance: 344.5 meters, Time: 248.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Keep left, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 220.0 meters, Time: 158.4 seconds
Name: شارع الحريه, Instruction: Turn left onto شارع الحريه, Distance: 189.6 meters, Time: 136.5 seconds
Name: -, Instruction: Turn right, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 150.4 meters, Time: 108.3 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 95.6 meters, Time: 68.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
