Name: Rue Eugène Oudiné, Instruction: Head east on Rue Eugène Oudiné, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn left, Distance: 589.3 meters, Time: 424.3 seconds
Name: -, Instruction: Keep right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 111.3 meters, Time: 80.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue du Chevaleret, Instruction: Turn left onto Rue du Chevaleret, Distance: 314.9 meters, Time: 226.7 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 206.3 meters, Time: 148.5 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Keep right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Rue du Mur des Fermiers Généraux, Instruction: Turn sharp right onto Rue du Mur des Fermiers Généraux, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
