Name: Rue Nationale, Instruction: Head northwest on Rue Nationale, Distance: 0.2 meters, Time: 0.2 seconds
Name: Rue Baudricourt, Instruction: Turn left onto Rue Baudricourt, Distance: 269.8 meters, Time: 194.3 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue Baudricourt, Instruction: Turn left onto Rue Baudricourt, Distance: 607.8 meters, Time: 437.6 seconds
Name: -, Instruction: Turn left, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 84.0 meters, Time: 60.5 seconds
Name: Rue de l'Industrie, Instruction: Turn left onto Rue de l'Industrie, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue du Tage, Instruction: Turn right onto Rue du Tage, Distance: 7.7 meters, Time: 5.5 seconds
Name: Allée Alexandre Vialatte, Instruction: Turn left onto Allée Alexandre Vialatte, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: Rue du Moulin de la Pointe, Instruction: Turn left onto Rue du Moulin de la Pointe, Distance: 25.9 meters, Time: 18.6 seconds
Name: Rue du Tibre, Instruction: Turn right onto Rue du Tibre, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 77.6 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Rue Max Jacob, Instruction: Turn right onto Rue Max Jacob, Distance: 168.7 meters, Time: 121.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 237.9 meters, Time: 171.3 seconds
Name: -, Instruction: Continue straight, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Keep left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
