Name: Cotswold Close, Instruction: Head east on Cotswold Close, Distance: 436.2 meters, Time: 314.0 seconds
Name: Lynwood Grove, Instruction: Turn right onto Lynwood Grove, Distance: 75.4 meters, Time: 54.3 seconds
Name: Clifton Vale, Instruction: Turn left onto Clifton Vale, Distance: 321.4 meters, Time: 231.4 seconds
Name: Jalan Girang, Instruction: Turn left onto Jalan Girang, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 267.9 meters, Time: 192.9 seconds
Name: -, Instruction: Keep right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 311.4 meters, Time: 224.2 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 117.3 meters, Time: 84.5 seconds
Name: Footpath, Instruction: Turn left onto Footpath, Distance: 246.9 meters, Time: 177.8 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 73.7 meters, Time: 53.0 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
