Name: Bruce Ferguson Avenue, Instruction: Head west on Bruce Ferguson Avenue, Distance: 148.2 meters, Time: 106.7 seconds
Name: Theatre Walk, Instruction: Turn right onto Theatre Walk, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 95.8 meters, Time: 68.9 seconds
Name: -, Instruction: Turn slight right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn slight right, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn slight left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
