Name: Evergreen Avenue, Instruction: Head north on Evergreen Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 206.0 meters, Time: 148.3 seconds
Name: -, Instruction: Turn left, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Keep right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 435.5 meters, Time: 313.5 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 407.4 meters, Time: 293.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 745.2 meters, Time: 536.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
