Name: Lateral Norte Avenida del Taller, Instruction: Head southeast on Lateral Norte Avenida del Taller, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.2 seconds
Name: Cuerda Oriente Licenciad Genaro García, Instruction: Turn right onto Cuerda Oriente Licenciad Genaro García, Distance: 180.5 meters, Time: 129.9 seconds
Name: Lateral Oriente Licenciado Genaro García, Instruction: Continue straight onto Lateral Oriente Licenciado Genaro García, Distance: 10.8 meters, Time: 7.7 seconds
Name: Cuerda Oriente Licenciado Genaro García, Instruction: Continue straight onto Cuerda Oriente Licenciado Genaro García, Distance: 97.2 meters, Time: 70.0 seconds
Name: Jesús Galindo y Villa, Instruction: Turn left onto Jesús Galindo y Villa, Distance: 413.5 meters, Time: 297.7 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Continue straight, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
