Name: Hawke Place, Instruction: Head south on Hawke Place, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn right, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Keep left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight left, Distance: 161.5 meters, Time: 116.3 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight left, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 853.5 meters, Time: 614.5 seconds
Name: -, Instruction: Turn right, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 180.4 meters, Time: 129.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn slight left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
