Name: President Avenue, Instruction: Head east on President Avenue, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: Kirrawee Avenue, Instruction: Turn right onto Kirrawee Avenue, Distance: 269.0 meters, Time: 193.7 seconds
Name: -, Instruction: Turn left, Distance: 509.9 meters, Time: 367.1 seconds
Name: Corella Road, Instruction: Turn right onto Corella Road, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Keep left, Distance: 214.3 meters, Time: 154.3 seconds
Name: North West Arm Road, Instruction: Turn right onto North West Arm Road, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
