Name: Steep Acres, Instruction: Head north on Steep Acres, Distance: 21.3 meters, Time: 15.3 seconds
Name: Ocean View Drive, Instruction: Turn right onto Ocean View Drive, Distance: 400.4 meters, Time: 288.3 seconds
Name: Upper Rhine Road, Instruction: Turn right onto Upper Rhine Road, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 154.3 meters, Time: 111.1 seconds
Name: -, Instruction: Turn slight right, Distance: 301.0 meters, Time: 216.7 seconds
Name: -, Instruction: Turn left, Distance: 158.3 meters, Time: 114.0 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 398.1 meters, Time: 286.6 seconds
Name: -, Instruction: Turn slight right, Distance: 352.9 meters, Time: 254.1 seconds
Name: -, Instruction: Keep left, Distance: 297.7 meters, Time: 214.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
