Name: Piper Street, Instruction: Head west on Piper Street, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn right, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 279.3 meters, Time: 201.1 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 198.0 meters, Time: 142.6 seconds
Name: Michael Sweet Avenue, Instruction: Turn left onto Michael Sweet Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: St. Patrick Street, Instruction: Turn right onto St. Patrick Street, Distance: 213.4 meters, Time: 153.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
