Name: East 49th Place, Instruction: Head southwest on East 49th Place, Distance: 221.9 meters, Time: 159.7 seconds
Name: Flanders Way, Instruction: Turn left onto Flanders Way, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 128.8 meters, Time: 92.8 seconds
Name: Ceylon Way, Instruction: Turn left onto Ceylon Way, Distance: 7.6 meters, Time: 5.5 seconds
Name: Ceylon Way, Instruction: Turn right onto Ceylon Way, Distance: 84.9 meters, Time: 61.1 seconds
Name: East 48th Place, Instruction: Continue straight onto East 48th Place, Distance: 133.9 meters, Time: 96.4 seconds
Name: -, Instruction: Turn left, Distance: 64.4 meters, Time: 46.4 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 34.2 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
