Name: Mannerim Place, Instruction: Head north on Mannerim Place, Distance: 18.7 meters, Time: 13.4 seconds
Name: Deepwater Road, Instruction: Turn left onto Deepwater Road, Distance: 529.7 meters, Time: 381.4 seconds
Name: Deepwater Road, Instruction: Enter the roundabout and take the 1st exit onto Deepwater Road, Distance: 493.4 meters, Time: 355.2 seconds
Name: Deepwater Road, Instruction: Enter the roundabout and take the 1st exit onto Deepwater Road, Distance: 309.3 meters, Time: 222.7 seconds
Name: -, Instruction: Turn right, Distance: 121.2 meters, Time: 87.2 seconds
Name: Kendall Road, Instruction: Turn left onto Kendall Road, Distance: 271.6 meters, Time: 195.5 seconds
Name: Kendall Road, Instruction: Enter the roundabout and take the 2nd exit onto Kendall Road, Distance: 129.6 meters, Time: 93.3 seconds
Name: Rosebridge Avenue, Instruction: Enter the roundabout and take the 1st exit onto Rosebridge Avenue, Distance: 11.6 meters, Time: 8.3 seconds
Name: Kendall Road, Instruction: Turn right onto Kendall Road, Distance: 187.0 meters, Time: 134.7 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
