Name: Allée Jacques Rivette, Instruction: Head northeast on Allée Jacques Rivette, Distance: 96.7 meters, Time: 69.6 seconds
Name: Allée du Bardo, Instruction: Turn sharp left onto Allée du Bardo, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: Sentier du Chemin de Fer, Instruction: Turn left onto Sentier du Chemin de Fer, Distance: 111.4 meters, Time: 80.2 seconds
Name: Allée Jacques Higelin, Instruction: Continue straight onto Allée Jacques Higelin, Distance: 38.6 meters, Time: 27.8 seconds
Name: Allée Jacques Higelin, Instruction: Keep right onto Allée Jacques Higelin, Distance: 61.0 meters, Time: 43.9 seconds
Name: Allée de la Vanne, Instruction: Turn slight right onto Allée de la Vanne, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn slight left, Distance: 10.6 meters, Time: 7.6 seconds
Name: Place Jacques-Debu-Bridel, Instruction: Continue straight onto Place Jacques-Debu-Bridel, Distance: 22.1 meters, Time: 15.9 seconds
Name: Avenue Reille, Instruction: Continue straight onto Avenue Reille, Distance: 4.7 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Place Jacques-Debu-Bridel, Instruction: Turn slight left onto Place Jacques-Debu-Bridel, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 196.4 meters, Time: 141.4 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn slight left, Distance: 233.1 meters, Time: 167.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.2 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 93.0 meters, Time: 66.9 seconds
Name: Rue Edmond Gondinet, Instruction: Turn left onto Rue Edmond Gondinet, Distance: 92.4 meters, Time: 66.5 seconds
Name: Rue de Croulebarbe, Instruction: Keep right onto Rue de Croulebarbe, Distance: 325.0 meters, Time: 234.0 seconds
Name: Rue de Croulebarbe, Instruction: Enter the roundabout and take the 1st exit onto Rue de Croulebarbe, Distance: 238.0 meters, Time: 171.4 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
