Name: Balliol Street, Instruction: Head northeast on Balliol Street, Distance: 296.7 meters, Time: 213.7 seconds
Name: Bessborough Drive, Instruction: Turn left onto Bessborough Drive, Distance: 33.0 meters, Time: 23.8 seconds
Name: Rolland Road, Instruction: Turn right onto Rolland Road, Distance: 127.2 meters, Time: 91.6 seconds
Name: Hanna Road, Instruction: Turn left onto Hanna Road, Distance: 440.1 meters, Time: 316.8 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 200.1 meters, Time: 144.1 seconds
Name: -, Instruction: Turn right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 308.8 meters, Time: 222.3 seconds
Name: -, Instruction: Keep right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Keep right, Distance: 104.3 meters, Time: 75.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
