Name: Military Close, Instruction: Head north on Military Close, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight right, Distance: 324.5 meters, Time: 233.7 seconds
Name: -, Instruction: Turn left, Distance: 159.3 meters, Time: 114.7 seconds
Name: -, Instruction: Turn right, Distance: 791.5 meters, Time: 569.8 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
