Name: Glebeholme Boulevard, Instruction: Head west on Glebeholme Boulevard, Distance: 246.7 meters, Time: 177.6 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 46.2 meters, Time: 33.2 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.8 seconds
Name: Monarch Park Avenue, Instruction: Turn right onto Monarch Park Avenue, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 213.3 meters, Time: 153.6 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Linnsmore Crescent, Instruction: Turn right onto Linnsmore Crescent, Distance: 167.0 meters, Time: 120.3 seconds
Name: Queensdale Avenue, Instruction: Turn left onto Queensdale Avenue, Distance: 208.8 meters, Time: 150.3 seconds
Name: -, Instruction: Turn right, Distance: 64.4 meters, Time: 46.3 seconds
Name: -, Instruction: Turn left, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Keep right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
