Name: Edgecliff Golfway, Instruction: Head southwest on Edgecliff Golfway, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn right, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn left, Distance: 305.1 meters, Time: 219.7 seconds
Name: Deauville Lane, Instruction: Turn right onto Deauville Lane, Distance: 116.5 meters, Time: 83.9 seconds
Name: Rochefort Drive, Instruction: Turn left onto Rochefort Drive, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn left, Distance: 133.1 meters, Time: 95.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: Wilket Creek Road, Instruction: Turn left onto Wilket Creek Road, Distance: 8.4 meters, Time: 6.0 seconds
Name: Ferrand Drive, Instruction: Turn right onto Ferrand Drive, Distance: 23.7 meters, Time: 17.0 seconds
Name: Sonic Way, Instruction: Turn left onto Sonic Way, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 208.0 meters, Time: 149.7 seconds
Name: -, Instruction: Turn left, Distance: 193.3 meters, Time: 139.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 287.7 meters, Time: 207.1 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
