Name: Rue de Lancry, Instruction: Head southwest on Rue de Lancry, Distance: 349.4 meters, Time: 251.6 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 54.7 meters, Time: 39.4 seconds
Name: Villa du Lavoir, Instruction: Turn left onto Villa du Lavoir, Distance: 1.7 meters, Time: 1.2 seconds
Name: Rue René Boulanger, Instruction: Turn right onto Rue René Boulanger, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Turn right, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Keep left, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Keep right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
