Name: شارع سعد زغلول, Instruction: Head southwest on شارع سعد زغلول, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn left, Distance: 337.1 meters, Time: 242.7 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Turn right, Distance: 328.1 meters, Time: 236.2 seconds
Name: -, Instruction: Enter the roundabout and take the 4th exit, Distance: 277.8 meters, Time: 200.0 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 219.7 meters, Time: 158.2 seconds
Name: -, Instruction: Turn right, Distance: 432.0 meters, Time: 311.0 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Keep left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Turn right, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 427.3 meters, Time: 307.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
