Name: The High Road, Instruction: Head southwest on The High Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn right, Distance: 352.1 meters, Time: 253.5 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 493.5 meters, Time: 355.3 seconds
Name: -, Instruction: Keep left, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Continue straight, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 62.1 meters, Time: 44.7 seconds
Name: Great Blue Mountains Trail, Instruction: Turn sharp left onto Great Blue Mountains Trail, Distance: 53.2 meters, Time: 38.3 seconds
Name: Great Blue Mountains Trail, Instruction: Keep left onto Great Blue Mountains Trail, Distance: 14.5 meters, Time: 10.5 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight right onto Great Blue Mountains Trail, Distance: 936.8 meters, Time: 674.5 seconds
Name: -, Instruction: Turn left, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Baden Place, Instruction: Turn left onto Baden Place, Distance: 12.8 meters, Time: 9.2 seconds
Name: Baden Place, Instruction: Turn slight right onto Baden Place, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at Baden Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
