Name: Richmond Adelaide Centre Courtyard, Instruction: Head north on Richmond Adelaide Centre Courtyard, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn right, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 222.3 meters, Time: 160.0 seconds
Name: -, Instruction: Turn right, Distance: 191.9 meters, Time: 138.2 seconds
Name: -, Instruction: Turn left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 172.3 meters, Time: 124.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 246.6 meters, Time: 177.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Murray Street, Instruction: Turn right onto Murray Street, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Turn left, Distance: 91.5 meters, Time: 65.8 seconds
Name: Henry Street, Instruction: Turn right onto Henry Street, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at Henry Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
