Name: Windsor Road, Instruction: Head south on Windsor Road, Distance: 53.5 meters, Time: 38.5 seconds
Name: Windsor Street, Instruction: Turn left onto Windsor Street, Distance: 58.3 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Continue straight, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 554.2 meters, Time: 399.0 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 280.5 meters, Time: 202.0 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 133.1 meters, Time: 95.9 seconds
Name: -, Instruction: Turn slight left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 122.7 meters, Time: 88.4 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: Wilksch Walk, Instruction: Keep left onto Wilksch Walk, Distance: 137.1 meters, Time: 98.7 seconds
Name: -, Instruction: Turn slight right, Distance: 451.2 meters, Time: 324.8 seconds
Name: -, Instruction: Continue straight, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Continue straight, Distance: 261.2 meters, Time: 188.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
