Name: Burragulung Street, Instruction: Head south on Burragulung Street, Distance: 123.1 meters, Time: 88.6 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 222.1 meters, Time: 159.9 seconds
Name: Lomandra Place, Instruction: Turn left onto Lomandra Place, Distance: 92.1 meters, Time: 66.3 seconds
Name: Fairsky Street, Instruction: Turn left onto Fairsky Street, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: Elphinstone Road, Instruction: Turn right onto Elphinstone Road, Distance: 12.9 meters, Time: 9.3 seconds
Name: Moverly Road, Instruction: Turn left onto Moverly Road, Distance: 135.8 meters, Time: 97.7 seconds
Name: Coldstream Street, Instruction: Keep right onto Coldstream Street, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Keep left, Distance: 22.8 meters, Time: 16.4 seconds
Name: Coldstream Street, Instruction: Keep left onto Coldstream Street, Distance: 23.4 meters, Time: 16.9 seconds
Name: Moverly Road, Instruction: Turn slight right onto Moverly Road, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
