Name: Isabella Drive, Instruction: Head east on Isabella Drive, Distance: 25.8 meters, Time: 18.6 seconds
Name: Bay Beach Avenue, Instruction: Turn left onto Bay Beach Avenue, Distance: 410.7 meters, Time: 295.7 seconds
Name: Ocean Way, Instruction: Turn right onto Ocean Way, Distance: 407.5 meters, Time: 293.4 seconds
Name: West Coast Cycle Path, Instruction: Turn right onto West Coast Cycle Path, Distance: 877.5 meters, Time: 631.8 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Keep right, Distance: 23.3 meters, Time: 16.8 seconds
Name: Ixia Road, Instruction: Turn left onto Ixia Road, Distance: 167.1 meters, Time: 120.3 seconds
Name: -, Instruction: Turn left, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn slight right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Grand National Boulevard, Instruction: Turn left onto Grand National Boulevard, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Grand National Boulevard, Instruction: Turn left onto Grand National Boulevard, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
