Name: Harvard Avenue, Instruction: Head west on Harvard Avenue, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 193.2 meters, Time: 139.1 seconds
Name: -, Instruction: Keep left, Distance: 211.8 meters, Time: 152.5 seconds
Name: Garden Avenue, Instruction: Turn right onto Garden Avenue, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 333.0 meters, Time: 239.8 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Fern Avenue, Instruction: Turn right onto Fern Avenue, Distance: 253.9 meters, Time: 182.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: MacDonell Avenue, Instruction: Turn left onto MacDonell Avenue, Distance: 55.9 meters, Time: 40.2 seconds
Name: Rideau Avenue, Instruction: Turn right onto Rideau Avenue, Distance: 104.5 meters, Time: 75.2 seconds
Name: Lansdowne Avenue, Instruction: Turn right onto Lansdowne Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Keep right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: Shirley Street, Instruction: Turn right onto Shirley Street, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Arrive at Shirley Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
