Name: Perimeade Road, Instruction: Head east on Perimeade Road, Distance: 91.8 meters, Time: 66.1 seconds
Name: Manor Farm Road, Instruction: Turn right onto Manor Farm Road, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Glacier Way, Instruction: Enter the roundabout and take the 1st exit onto Glacier Way, Distance: 117.4 meters, Time: 84.5 seconds
Name: Glacier Way, Instruction: Continue straight onto Glacier Way, Distance: 115.7 meters, Time: 83.3 seconds
Name: -, Instruction: Keep right, Distance: 79.5 meters, Time: 57.3 seconds
Name: Ealing Road, A4005, Instruction: Turn slight right onto Ealing Road, A4005, Distance: 73.9 meters, Time: 53.2 seconds
Name: Carlyon Road, Instruction: Turn left onto Carlyon Road, Distance: 435.7 meters, Time: 313.7 seconds
Name: Fulwood Avenue, Instruction: Turn right onto Fulwood Avenue, Distance: 283.6 meters, Time: 204.2 seconds
Name: Queensbury Road, Instruction: Turn left onto Queensbury Road, Distance: 276.5 meters, Time: 199.1 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 58.7 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: Iveagh Avenue, Instruction: Turn right onto Iveagh Avenue, Distance: 250.0 meters, Time: 180.0 seconds
Name: -, Instruction: Arrive at Iveagh Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
