Name: Mapleview Avenue, Instruction: Head south on Mapleview Avenue, Distance: 8.7 meters, Time: 6.2 seconds
Name: MacGregor Avenue, Instruction: Turn right onto MacGregor Avenue, Distance: 120.5 meters, Time: 86.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 7.3 meters, Time: 5.2 seconds
Name: Windermere Avenue, Instruction: Turn left onto Windermere Avenue, Distance: 313.9 meters, Time: 226.0 seconds
Name: Colbeck Street, Instruction: Turn right onto Colbeck Street, Distance: 14.8 meters, Time: 10.7 seconds
Name: Windermere Avenue, Instruction: Turn left onto Windermere Avenue, Distance: 1029.1 meters, Time: 741.0 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 34.0 meters, Time: 24.5 seconds
Name: Lhasa Street, Instruction: Turn left onto Lhasa Street, Distance: 6.0 meters, Time: 4.3 seconds
Name: Morningside Avenue, Instruction: Turn right onto Morningside Avenue, Distance: 273.5 meters, Time: 196.9 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
