Name: OE06, Instruction: Head southwest on OE06, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 579.5 meters, Time: 417.2 seconds
Name: -, Instruction: Turn right, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Feldmochinger Straße, Instruction: Turn right onto Feldmochinger Straße, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
