Name: Rua Marolo, Instruction: Head southeast on Rua Marolo, Distance: 189.6 meters, Time: 136.5 seconds
Name: Rua da Reverência, Instruction: Turn right onto Rua da Reverência, Distance: 179.7 meters, Time: 129.4 seconds
Name: Estrada Calmete, Instruction: Turn right onto Estrada Calmete, Distance: 26.2 meters, Time: 18.9 seconds
Name: Estrada Calmete, Instruction: Turn sharp left onto Estrada Calmete, Distance: 28.1 meters, Time: 20.2 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 113.7 meters, Time: 81.8 seconds
Name: Estrada Coronel Pedro Corrêa, Instruction: Turn right onto Estrada Coronel Pedro Corrêa, Distance: 279.9 meters, Time: 201.5 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: Estrada Coronel Pedro Corrêa, Instruction: Turn right onto Estrada Coronel Pedro Corrêa, Distance: 291.1 meters, Time: 209.6 seconds
Name: Avenida Vice-Presidente José Alencar, Instruction: Turn left onto Avenida Vice-Presidente José Alencar, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
