Name: Lorong 104 Changi, Instruction: Head north on Lorong 104 Changi, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 281.4 meters, Time: 202.6 seconds
Name: -, Instruction: Turn right, Distance: 416.8 meters, Time: 300.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Joo Chiat Place, Instruction: Turn left onto Joo Chiat Place, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn slight left, Distance: 249.0 meters, Time: 179.3 seconds
Name: Lorong J Telok Kurau, Instruction: Turn right onto Lorong J Telok Kurau, Distance: 4.8 meters, Time: 3.4 seconds
Name: Lorong J Telok Kurau, Instruction: Turn left onto Lorong J Telok Kurau, Distance: 132.8 meters, Time: 95.6 seconds
Name: -, Instruction: Turn right, Distance: 120.6 meters, Time: 86.8 seconds
Name: -, Instruction: Turn left, Distance: 535.1 meters, Time: 385.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
