Name: Napoleon's Walk, Instruction: Head south on Napoleon's Walk, Distance: 121.6 meters, Time: 87.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Keep left, Distance: 154.5 meters, Time: 111.3 seconds
Name: -, Instruction: Keep right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn slight right, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Keep right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: Park Road, Instruction: Turn left onto Park Road, Distance: 233.3 meters, Time: 168.0 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: Park Road, Instruction: Turn right onto Park Road, Distance: 276.3 meters, Time: 198.9 seconds
Name: Burlington Lane, Instruction: Turn left onto Burlington Lane, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 59.9 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 151.5 meters, Time: 109.1 seconds
Name: Station Approach Road, Instruction: Continue straight onto Station Approach Road, Distance: 51.6 meters, Time: 37.2 seconds
Name: Spencer Road, Instruction: Turn left onto Spencer Road, Distance: 398.9 meters, Time: 287.2 seconds
Name: Hartington Road, Instruction: Turn left onto Hartington Road, Distance: 327.1 meters, Time: 235.5 seconds
Name: -, Instruction: Turn left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
