Name: Oakland Street, Instruction: Head northeast on Oakland Street, Distance: 368.5 meters, Time: 265.3 seconds
Name: Del Mar Circle, Instruction: Turn left onto Del Mar Circle, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: Del Mar Circle, Instruction: Turn left onto Del Mar Circle, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Continue straight, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Continue straight, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 213.3 meters, Time: 153.5 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Continue straight, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 97.6 meters, Time: 70.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
