Name: Strathmore Boulevard, Instruction: Head east on Strathmore Boulevard, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Keep right, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 138.7 meters, Time: 99.9 seconds
Name: -, Instruction: Keep right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 249.4 meters, Time: 179.6 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 205.8 meters, Time: 148.2 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Leroy Avenue, Instruction: Turn left onto Leroy Avenue, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Keep right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Linsmore Crescent, Instruction: Turn left onto Linsmore Crescent, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Cosburn Avenue, Instruction: Turn right onto Cosburn Avenue, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Arrive at Cosburn Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
