Name: Rue de Harlay, Instruction: Head southwest on Rue de Harlay, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: Accès Parking Pont Neuf, Instruction: Turn right onto Accès Parking Pont Neuf, Distance: 5.6 meters, Time: 4.1 seconds
Name: Quai des Orfèvres, Instruction: Turn left onto Quai des Orfèvres, Distance: 203.9 meters, Time: 146.8 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Continue straight, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 137.0 meters, Time: 98.6 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 81.6 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Keep left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Keep right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn slight left, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 107.7 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 140.1 meters, Time: 100.9 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Keep right, Distance: 140.1 meters, Time: 100.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
