Name: Bedok North Street 3, Instruction: Head east on Bedok North Street 3, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn slight left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 97.6 meters, Time: 70.3 seconds
Name: Chai Chee Street, Instruction: Turn left onto Chai Chee Street, Distance: 89.1 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 425.0 meters, Time: 306.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
