Name: Beaufort Drive, Instruction: Head northeast on Beaufort Drive, Distance: 4.1 meters, Time: 3.0 seconds
Name: Gloucester Drive, Instruction: Turn right onto Gloucester Drive, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn right, Distance: 103.2 meters, Time: 74.3 seconds
Name: Brookland Rise, Instruction: Turn right onto Brookland Rise, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 68.3 meters, Time: 49.2 seconds
Name: Falloden Way, Instruction: Turn left onto Falloden Way, Distance: 658.9 meters, Time: 474.4 seconds
Name: Falloden Way, Instruction: Turn slight left onto Falloden Way, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: Ossulton Way, Instruction: Turn right onto Ossulton Way, Distance: 545.2 meters, Time: 392.5 seconds
Name: Widecombe Way, Instruction: Turn left onto Widecombe Way, Distance: 33.1 meters, Time: 23.8 seconds
Name: Vivian Way, Instruction: Turn right onto Vivian Way, Distance: 184.1 meters, Time: 132.6 seconds
Name: Devon Rise, Instruction: Turn left onto Devon Rise, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 152.8 meters, Time: 110.0 seconds
Name: Edmunds Walk, Instruction: Continue straight onto Edmunds Walk, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: The Causeway, Instruction: Turn right onto The Causeway, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Continue straight, Distance: 5.4 meters, Time: 3.9 seconds
Name: High Road, Instruction: Turn sharp right onto High Road, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 73.7 meters, Time: 53.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
