Name: شارع ابن السراج, Instruction: Head southeast on شارع ابن السراج, Distance: 92.9 meters, Time: 66.9 seconds
Name: شارع 53, Instruction: Turn left onto شارع 53, Distance: 166.8 meters, Time: 120.1 seconds
Name: شارع 53, Instruction: Keep right onto شارع 53, Distance: 47.6 meters, Time: 34.2 seconds
Name: محور 82, Instruction: Turn right onto محور 82, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: محور 82, Instruction: Turn left onto محور 82, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 29.7 meters, Time: 21.4 seconds
Name: شارع ابو حامد محمد, Instruction: Turn right onto شارع ابو حامد محمد, Distance: 9.6 meters, Time: 6.9 seconds
Name: شارع ابراهيم سليمان, Instruction: Turn left onto شارع ابراهيم سليمان, Distance: 401.1 meters, Time: 288.8 seconds
Name: شارع الخليفه المنتصر, Instruction: Turn left onto شارع الخليفه المنتصر, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: شارع الخليفه المنتصر, Instruction: Turn right onto شارع الخليفه المنتصر, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 108.7 meters, Time: 78.3 seconds
Name: شارع مصطفى صادق الرفاعى, Instruction: Turn slight left onto شارع مصطفى صادق الرفاعى, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.6 seconds
Name: شارع مصطفى صادق الرفاعى, Instruction: Turn left onto شارع مصطفى صادق الرفاعى, Distance: 72.8 meters, Time: 52.4 seconds
Name: شارع سعيد الشخامي, Instruction: Turn right onto شارع سعيد الشخامي, Distance: 336.2 meters, Time: 242.1 seconds
Name: -, Instruction: Turn right, Distance: 72.5 meters, Time: 52.2 seconds
Name: شارع البيروني, Instruction: Turn left onto شارع البيروني, Distance: 107.3 meters, Time: 77.2 seconds
Name: -, Instruction: Turn right, Distance: 76.5 meters, Time: 55.1 seconds
Name: شارع الحموي, Instruction: Turn left onto شارع الحموي, Distance: 31.1 meters, Time: 22.4 seconds
Name: شارع ابن سمجون, Instruction: Turn right onto شارع ابن سمجون, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Keep left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn slight right, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: شارع الشهيد احمد مجدي, Instruction: Turn right onto شارع الشهيد احمد مجدي, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: شارع مجاهد, Instruction: Turn right onto شارع مجاهد, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 80.2 meters, Time: 57.8 seconds
Name: شارع قتاده, Instruction: Turn right onto شارع قتاده, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: شارع قتاده, Instruction: Turn right onto شارع قتاده, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
