Name: East Parkview Place, Instruction: Head west on East Parkview Place, Distance: 6.6 meters, Time: 4.7 seconds
Name: North Millbrook Street, Instruction: Turn left onto North Millbrook Street, Distance: 169.7 meters, Time: 122.2 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 197.9 meters, Time: 142.5 seconds
Name: -, Instruction: Keep right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
