Name: شارع رياض السنباطى, Instruction: Head east on شارع رياض السنباطى, Distance: 159.1 meters, Time: 114.5 seconds
Name: -, Instruction: Turn right, Distance: 70.3 meters, Time: 50.6 seconds
Name: شارع الشهيد ابراهيم عبد التواب, Instruction: Turn left onto شارع الشهيد ابراهيم عبد التواب, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 69.7 meters, Time: 50.2 seconds
Name: شارع الشهيد محمد الجندي, Instruction: Turn left onto شارع الشهيد محمد الجندي, Distance: 153.3 meters, Time: 110.4 seconds
Name: شارع عبد الباسط عبد الصمد, Instruction: Turn right onto شارع عبد الباسط عبد الصمد, Distance: 81.0 meters, Time: 58.3 seconds
Name: شارع حسام جويش, Instruction: Turn left onto شارع حسام جويش, Distance: 9.4 meters, Time: 6.8 seconds
Name: شارع عبد الباسط عبد الصمد, Instruction: Turn right onto شارع عبد الباسط عبد الصمد, Distance: 69.5 meters, Time: 50.1 seconds
Name: شارع الشهيد خالد الجعفرى, Instruction: Turn left onto شارع الشهيد خالد الجعفرى, Distance: 100.5 meters, Time: 72.3 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn right, Distance: 198.6 meters, Time: 143.0 seconds
Name: شارع ابن الرحبى, Instruction: Turn right onto شارع ابن الرحبى, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Continue straight, Distance: 64.6 meters, Time: 46.5 seconds
Name: شارع محمود رياض, Instruction: Turn right onto شارع محمود رياض, Distance: 81.3 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
