Name: Rua José Higino, Instruction: Head northwest on Rua José Higino, Distance: 176.3 meters, Time: 127.0 seconds
Name: Rua Antônio Basílio, Instruction: Turn right onto Rua Antônio Basílio, Distance: 636.2 meters, Time: 458.1 seconds
Name: Rua Soriano de Sousa, Instruction: Turn right onto Rua Soriano de Sousa, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn left, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Keep left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 40.5 meters, Time: 29.1 seconds
Name: -, Instruction: Turn slight right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 66.0 meters, Time: 47.5 seconds
Name: Rua Conde de Bonfim, Instruction: Turn slight right onto Rua Conde de Bonfim, Distance: 74.4 meters, Time: 53.6 seconds
Name: Rua Almirante Cóchrane, Instruction: Turn sharp left onto Rua Almirante Cóchrane, Distance: 39.9 meters, Time: 28.7 seconds
Name: Avenida Heitor Beltrão, Instruction: Turn right onto Avenida Heitor Beltrão, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
