Name: Canberra Drive, Instruction: Head northwest on Canberra Drive, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 452.3 meters, Time: 325.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn left, Distance: 241.2 meters, Time: 173.6 seconds
Name: -, Instruction: Turn left, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 244.2 meters, Time: 175.8 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Keep right, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Keep right, Distance: 135.5 meters, Time: 97.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
