Name: Beaufort Road, Instruction: Head south on Beaufort Road, Distance: 129.6 meters, Time: 93.3 seconds
Name: Southwood Drive, Instruction: Turn left onto Southwood Drive, Distance: 122.6 meters, Time: 88.3 seconds
Name: -, Instruction: Turn right, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Williamson Road, Instruction: Turn right onto Williamson Road, Distance: 88.9 meters, Time: 64.0 seconds
Name: Hambly Avenue, Instruction: Turn left onto Hambly Avenue, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Keep left, Distance: 280.1 meters, Time: 201.7 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Lee Avenue, Instruction: Turn left onto Lee Avenue, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 143.7 meters, Time: 103.5 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 496.7 meters, Time: 357.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
