Name: Rua Ernesto Nazareth, Instruction: Head east on Rua Ernesto Nazareth, Distance: 257.1 meters, Time: 185.1 seconds
Name: Rua Jorge Rudge, Instruction: Turn left onto Rua Jorge Rudge, Distance: 510.1 meters, Time: 367.2 seconds
Name: Rua Marã, Instruction: Turn left onto Rua Marã, Distance: 182.5 meters, Time: 131.4 seconds
Name: Rua São Francisco Xavier, Instruction: Turn right onto Rua São Francisco Xavier, Distance: 94.5 meters, Time: 68.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.2 seconds
Name: Rua São Francisco Xavier, Instruction: Turn left onto Rua São Francisco Xavier, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 197.0 meters, Time: 141.8 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 107.0 meters, Time: 77.1 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 191.9 meters, Time: 138.1 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: Rua Visconde de Niterói, Instruction: Turn right onto Rua Visconde de Niterói, Distance: 146.4 meters, Time: 105.4 seconds
Name: Rua da Pedreira, Instruction: Turn left onto Rua da Pedreira, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Arrive at Rua da Pedreira, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
