Name: Grilse Close, Instruction: Head southeast on Grilse Close, Distance: 106.2 meters, Time: 76.5 seconds
Name: Parr Close, Instruction: Turn right onto Parr Close, Distance: 91.7 meters, Time: 66.0 seconds
Name: Brookside Road, Instruction: Turn slight right onto Brookside Road, Distance: 68.0 meters, Time: 49.0 seconds
Name: Brookfield Road, Instruction: Turn left onto Brookfield Road, Distance: 87.4 meters, Time: 62.9 seconds
Name: Brettenham Road, Instruction: Turn right onto Brettenham Road, Distance: 79.3 meters, Time: 57.1 seconds
Name: Argyle Road, Instruction: Turn left onto Argyle Road, Distance: 192.0 meters, Time: 138.3 seconds
Name: King's Road, Instruction: Turn left onto King's Road, Distance: 174.9 meters, Time: 125.9 seconds
Name: Fairfield Road, Instruction: Turn right onto Fairfield Road, Distance: 196.3 meters, Time: 141.3 seconds
Name: Cuthbert Road, Instruction: Turn left onto Cuthbert Road, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 180.5 meters, Time: 130.0 seconds
Name: -, Instruction: Keep right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight right, Distance: 256.8 meters, Time: 184.9 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Sterling Way, Instruction: Turn right onto Sterling Way, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn slight left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 115.9 meters, Time: 83.4 seconds
Name: -, Instruction: Turn left, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Turn slight left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Keep right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.7 seconds
Name: Bull Lane, Instruction: Turn right onto Bull Lane, Distance: 7.5 meters, Time: 5.4 seconds
Name: Watermill Lane, Instruction: Turn left onto Watermill Lane, Distance: 260.6 meters, Time: 187.6 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
