Name: Calle Río Lerma, Instruction: Head northeast on Calle Río Lerma, Distance: 876.1 meters, Time: 630.8 seconds
Name: Calle Plaza Carlos Finlay, Instruction: Keep right onto Calle Plaza Carlos Finlay, Distance: 103.1 meters, Time: 74.2 seconds
Name: Calle Plaza Carlos Finlay, Instruction: Turn left onto Calle Plaza Carlos Finlay, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 30.5 meters, Time: 22.0 seconds
Name: Calzada Manuel Villalongín, Instruction: Turn right onto Calzada Manuel Villalongín, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 567.0 meters, Time: 408.2 seconds
Name: -, Instruction: Keep left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Keep left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight right, Distance: 36.8 meters, Time: 26.5 seconds
Name: Calle José María Lafragua, Instruction: Turn left onto Calle José María Lafragua, Distance: 142.9 meters, Time: 102.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight left, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.4 seconds
Name: Calle Pedro Baranda, Instruction: Turn left onto Calle Pedro Baranda, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at Calle Pedro Baranda, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
