Name: Kraillinger Weg, Instruction: Head southeast on Kraillinger Weg, Distance: 65.2 meters, Time: 46.9 seconds
Name: Gautinger Straße, Instruction: Turn left onto Gautinger Straße, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.5 seconds
Name: Franz-Schuster-Straße, Instruction: Turn right onto Franz-Schuster-Straße, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Keep left, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Maxhofweg, Instruction: Turn left onto Maxhofweg, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 127.6 meters, Time: 91.9 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
