Name: MO01, Instruction: Head west on MO01, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Keep right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 44.5 meters, Time: 32.0 seconds
Name: Würmstraße, Instruction: Turn left onto Würmstraße, Distance: 345.0 meters, Time: 248.4 seconds
Name: Ohlauer Straße, Instruction: Turn right onto Ohlauer Straße, Distance: 77.2 meters, Time: 55.6 seconds
Name: Glogauer Platz, Instruction: Turn left onto Glogauer Platz, Distance: 221.5 meters, Time: 159.5 seconds
Name: Simrockstraße, Instruction: Turn right onto Simrockstraße, Distance: 18.6 meters, Time: 13.4 seconds
Name: Dillinger Straße, Instruction: Turn left onto Dillinger Straße, Distance: 326.3 meters, Time: 234.9 seconds
Name: Höchstädter Weg, Instruction: Turn left onto Höchstädter Weg, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Turn left, Distance: 98.5 meters, Time: 70.9 seconds
Name: Bautzener Straße, Instruction: Turn right onto Bautzener Straße, Distance: 7.7 meters, Time: 5.6 seconds
Name: Zittauer Straße, Instruction: Keep left onto Zittauer Straße, Distance: 271.7 meters, Time: 195.6 seconds
Name: -, Instruction: Arrive at Zittauer Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
