Name: Kimberley Street, Instruction: Head south on Kimberley Street, Distance: 270.0 meters, Time: 194.4 seconds
Name: C.J. Langenhoven Road, Instruction: Turn left onto C.J. Langenhoven Road, Distance: 376.2 meters, Time: 270.9 seconds
Name: Goulburn Street, Instruction: Turn right onto Goulburn Street, Distance: 829.5 meters, Time: 597.3 seconds
Name: Station Road, Instruction: Turn right onto Station Road, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 37.3 meters, Time: 26.8 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 299.7 meters, Time: 215.8 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 118.6 meters, Time: 85.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
