Name: Klara-Ziegler-Bogen, Instruction: Head south on Klara-Ziegler-Bogen, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 439.1 meters, Time: 316.1 seconds
Name: -, Instruction: Turn left, Distance: 280.2 meters, Time: 201.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.8 meters, Time: 5.6 seconds
Name: Arnold-Sommerfeld-Straße, Instruction: Turn right onto Arnold-Sommerfeld-Straße, Distance: 403.2 meters, Time: 290.3 seconds
Name: Carl-Wery-Straße, Instruction: Turn sharp right onto Carl-Wery-Straße, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Continue straight, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 82.7 meters, Time: 59.6 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
