Name: 江古田通り, Instruction: Head north on 江古田通り, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 283.9 meters, Time: 204.4 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Turn left, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 143.4 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 571.6 meters, Time: 411.6 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 241.9 meters, Time: 174.1 seconds
Name: -, Instruction: Turn left, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
