Name: شارع هدى سلطان, Instruction: Head southwest on شارع هدى سلطان, Distance: 42.1 meters, Time: 30.3 seconds
Name: شارع عمر خورشيد, Instruction: Turn left onto شارع عمر خورشيد, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn slight left, Distance: 254.7 meters, Time: 183.3 seconds
Name: شارع الحريه, Instruction: Turn left onto شارع الحريه, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: شارع الحريه, Instruction: Turn left onto شارع الحريه, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Keep right, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Keep left, Distance: 282.3 meters, Time: 203.3 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 61.3 meters, Time: 44.1 seconds
Name: شارع الحريه, Instruction: Turn sharp left onto شارع الحريه, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
