Name: East Lane, Instruction: Head south on East Lane, Distance: 132.6 meters, Time: 95.5 seconds
Name: King Street, Instruction: Turn right onto King Street, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 326.9 meters, Time: 235.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 455.6 meters, Time: 328.0 seconds
Name: Lonsdale Street, Instruction: Turn right onto Lonsdale Street, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at Lonsdale Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
