Name: 旧中山道, Instruction: Head south on 旧中山道, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 718.7 meters, Time: 517.5 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Keep right, Distance: 131.9 meters, Time: 95.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 171.9 meters, Time: 123.8 seconds
Name: -, Instruction: Turn left, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
