Name: Calle Minas, Instruction: Head east on Calle Minas, Distance: 94.2 meters, Time: 67.8 seconds
Name: Cerrada Cuarta Minas, Instruction: Turn left onto Cerrada Cuarta Minas, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Turn right, Distance: 238.9 meters, Time: 172.0 seconds
Name: 3ª Cerrada de Minas, Instruction: Turn left onto 3ª Cerrada de Minas, Distance: 42.5 meters, Time: 30.6 seconds
Name: Calle Chillanejos, Instruction: Turn sharp right onto Calle Chillanejos, Distance: 128.7 meters, Time: 92.7 seconds
Name: Calle Comayagüenses, Instruction: Turn left onto Calle Comayagüenses, Distance: 74.9 meters, Time: 53.9 seconds
Name: Calle Chontaleños, Instruction: Turn right onto Calle Chontaleños, Distance: 72.2 meters, Time: 52.0 seconds
Name: Calle Comayagüenses, Instruction: Turn left onto Calle Comayagüenses, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Keep left, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Antigua Vía a la Venta, Instruction: Turn right onto Antigua Vía a la Venta, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: Antigua Vía a la Venta, Instruction: Turn right onto Antigua Vía a la Venta, Distance: 222.3 meters, Time: 160.1 seconds
Name: Antigua Vía a la Venta, Instruction: Continue straight onto Antigua Vía a la Venta, Distance: 109.7 meters, Time: 79.0 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.1 seconds
Name: Calle 4, Instruction: Turn right onto Calle 4, Distance: 125.6 meters, Time: 90.5 seconds
Name: Calle G, Instruction: Turn right onto Calle G, Distance: 39.8 meters, Time: 28.6 seconds
Name: Calle 2, Instruction: Turn sharp right onto Calle 2, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Arrive at Calle 2, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
