Name: Avenue Brunetière, Instruction: Head southwest on Avenue Brunetière, Distance: 261.1 meters, Time: 188.0 seconds
Name: Rue de Senlis, Instruction: Turn left onto Rue de Senlis, Distance: 136.3 meters, Time: 98.1 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Turn right onto Avenue Stéphane Mallarmé, Distance: 31.8 meters, Time: 22.9 seconds
Name: Avenue Gourgaud, Instruction: Keep left onto Avenue Gourgaud, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn right, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 148.4 meters, Time: 106.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Laugier, Instruction: Turn left onto Rue Laugier, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Arrive at Rue Laugier, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
