Name: Mandai Link, Instruction: Head south on Mandai Link, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn slight left, Distance: 135.5 meters, Time: 97.5 seconds
Name: -, Instruction: Keep right, Distance: 149.4 meters, Time: 107.6 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 1014.6 meters, Time: 730.5 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 385.1 meters, Time: 277.3 seconds
Name: -, Instruction: Turn slight right, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Continue straight, Distance: 181.2 meters, Time: 130.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
