Name: Fort Calata Road, Instruction: Head north on Fort Calata Road, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn left, Distance: 97.2 meters, Time: 70.0 seconds
Name: Moses Mabhida Road, Instruction: Turn right onto Moses Mabhida Road, Distance: 400.9 meters, Time: 288.7 seconds
Name: Njoli Street, Instruction: Turn left onto Njoli Street, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 73.9 seconds
Name: -, Instruction: Turn left, Distance: 143.5 meters, Time: 103.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.7 meters, Time: 9.2 seconds
Name: Gunners Circle, Instruction: Turn sharp left onto Gunners Circle, Distance: 94.5 meters, Time: 68.1 seconds
Name: -, Instruction: Keep left, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn right, Distance: 281.2 meters, Time: 202.5 seconds
Name: -, Instruction: Turn right, Distance: 101.8 meters, Time: 73.3 seconds
Name: Gunners Circle, Instruction: Turn left onto Gunners Circle, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn right, Distance: 113.0 meters, Time: 81.3 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: Jellicoe Avenue, Instruction: Turn right onto Jellicoe Avenue, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
