Name: Säbener Straße, Instruction: Head north on Säbener Straße, Distance: 193.2 meters, Time: 139.1 seconds
Name: Dolomitenstraße, Instruction: Turn left onto Dolomitenstraße, Distance: 391.1 meters, Time: 281.6 seconds
Name: -, Instruction: Turn right, Distance: 125.5 meters, Time: 90.3 seconds
Name: Südtiroler Straße, Instruction: Turn left onto Südtiroler Straße, Distance: 23.3 meters, Time: 16.7 seconds
Name: Grünwalder Straße, Instruction: Turn slight right onto Grünwalder Straße, Distance: 8.8 meters, Time: 6.3 seconds
Name: Grünwalder Straße, Instruction: Turn right onto Grünwalder Straße, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 131.9 meters, Time: 95.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: Harlachinger Straße, Instruction: Turn left onto Harlachinger Straße, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.2 seconds
Name: -, Instruction: Turn right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn slight left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 316.6 meters, Time: 228.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
