Name: Bathurst Street, Instruction: Head south on Bathurst Street, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 1257.6 meters, Time: 905.5 seconds
Name: -, Instruction: Keep right, Distance: 313.5 meters, Time: 225.7 seconds
Name: -, Instruction: Keep right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Keep right, Distance: 10.7 meters, Time: 7.7 seconds
Name: Shallmar Boulevard, Instruction: Turn left onto Shallmar Boulevard, Distance: 371.8 meters, Time: 267.7 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
