Name: Maryvale Road, Instruction: Head north on Maryvale Road, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight right, Distance: 133.2 meters, Time: 95.9 seconds
Name: Walsh Road, Instruction: Turn left onto Walsh Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Archibald Drive, Instruction: Turn right onto Archibald Drive, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 228.3 meters, Time: 164.4 seconds
Name: -, Instruction: Keep right, Distance: 762.7 meters, Time: 549.2 seconds
Name: -, Instruction: Turn slight right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 192.8 meters, Time: 138.8 seconds
Name: -, Instruction: Turn left, Distance: 212.1 meters, Time: 152.7 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn right, Distance: 229.9 meters, Time: 165.6 seconds
Name: -, Instruction: Turn left, Distance: 212.2 meters, Time: 152.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
