Name: Linnenbrüggerstraße, Instruction: Head southeast on Linnenbrüggerstraße, Distance: 338.7 meters, Time: 243.9 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 98.3 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 297.9 meters, Time: 214.5 seconds
Name: -, Instruction: Keep left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Keep left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 191.6 meters, Time: 138.0 seconds
Name: -, Instruction: Turn left, Distance: 237.3 meters, Time: 170.8 seconds
Name: -, Instruction: Keep right, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
