Name: Rua Antunes Maciel, Instruction: Head west on Rua Antunes Maciel, Distance: 170.2 meters, Time: 122.6 seconds
Name: Rua São Cristóvão, Instruction: Turn left onto Rua São Cristóvão, Distance: 86.3 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: Rua Francisco Eugênio, Instruction: Turn slight right onto Rua Francisco Eugênio, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 228.9 meters, Time: 164.8 seconds
Name: Rua Francisco Eugênio, Instruction: Turn slight left onto Rua Francisco Eugênio, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Turn left, Distance: 257.1 meters, Time: 185.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 47.5 meters, Time: 34.2 seconds
Name: Rua General Canabarro, Instruction: Turn left onto Rua General Canabarro, Distance: 133.9 meters, Time: 96.4 seconds
Name: Rua Ibituruna, Instruction: Turn left onto Rua Ibituruna, Distance: 66.0 meters, Time: 47.5 seconds
Name: Rua Moraes e Silva, Instruction: Turn right onto Rua Moraes e Silva, Distance: 268.1 meters, Time: 193.0 seconds
Name: Rua Visconde de Cairu, Instruction: Turn left onto Rua Visconde de Cairu, Distance: 289.0 meters, Time: 208.1 seconds
Name: Rua Mariz e Barros, Instruction: Turn right onto Rua Mariz e Barros, Distance: 116.6 meters, Time: 84.0 seconds
Name: Rua Professor Gabizo, Instruction: Turn left onto Rua Professor Gabizo, Distance: 303.1 meters, Time: 218.2 seconds
Name: Rua Martins Pena, Instruction: Turn left onto Rua Martins Pena, Distance: 116.5 meters, Time: 83.9 seconds
Name: Rua Afonso Pena, Instruction: Turn right onto Rua Afonso Pena, Distance: 104.3 meters, Time: 75.1 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep left, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
